"Name","Title","Number of books","Number of verses","Category I","Category II","Source","wikidata","VIAF","EDIT16","OPAC SBN","URN","PURL"
"Jollyvetus","Fulmen in Aquilam ",,,,,"Braun 2007: 293",,1636,,,,
"Millieus","Moyses Viator ",,,,,"Braun 2007: 300",,1636,,,,
"Auberius","Leucata Triumphans ",,,,,"Braun 2007: 374",,1638,,,,
"Boessatius","Martellus ",,,,,"Braun 2007: 383",,1639,,,,
"Du May","Enguienneis ",,,,,"Braun 2007: 403",,1643,,,,
"Damianus","Bellum Germanicum ",,,,,"Braun 2007: 407",,1648,,,,
"Garissolius","Adolphis ",,,,,"Braun 2007: 436",,1649,,,,
"de Bussières","Rhea Liberata ",,,,,"Braun 2007: 469",,1655,,,,
"de Bussières","Scanderbegus ",,,,,"Braun 2007: 482",,1658,,,,
"de Bussières","Clodoveis (vor",,,,,"Braun 2007: 506",,1675,,,,
"Mambrunus","Constantinus ",,,,,"Braun 2007: 513",,1658,,,,
"Le Brun","Ignatias ",,,,,"Braun 2007: 551",,1661,,,,
"L’Abbé","Eustachius ",,,,,"Braun 2007: 574",,1672,,,,
"Rapin","Christus Patiens ",,,,,"Braun 2007: 587",,1674,,,,
"Mayre","Carolus Quintus ",,,,,"Braun 2007: 593",,1664,,,,
"Mayre","Liladamus ",,,,,"Braun 2007: 608",,1686,,,,
"Mayre","Recaredus ",,,,,"Braun 2007: 661",,1690,,,,
"Joannes","Bellum apud Fornovium ",,,,,"Braun 2007: 687",,1495,,,,
"Nagonius","Ad Ludovicum Regem Panagiricon ",,,,,"Braun 2007: 687",,1498,,,,
"de Varanis","De in agro Fornoviensi victoria ",,,,,"Braun 2007: 689",,1501,,,,
"de Varanis","Decertatio ﬁdei et heresis ",,,,,"Braun 2007: 689",,1505,,,,
"Andrelinus","De in Genuenses victoria ",,,,,"Braun 2007: 690",,1509,,,,
"Pielleus","De Anglorum ex Galliis fuga ",,,,,"Braun 2007: 690",,1513,,,,
"Brixius","Herveus ",,,,,"Braun 2007: 692",,1513,,,,
"Monsmoretanus","Herveis (ca",,,,,"Braun 2007: 693",,1513,,,,
"Assaracus","Trivultias ",,,,,"Braun 2007: 693",,1516,,,,
"Diophilax","Christomachia ",,,,,"Braun 2007: 694",,1527,,,,
"de Vintimille","De bello Rhodio (ca",,,,,"Braun 2007: 694",,1527,,,,
"de Vintimille","De victoria adversus Turcas ",,,,,"Braun 2007: 695",,1572,,,,
"Oliverius","Pandora ",,,,,"Braun 2007: 696",,1541,,,,
"de Cnobelsdorf","Lutetiae descriptio (ca",,,,,"Braun 2007: 697",,1543,,,,
"Châteillon","Iona propheta ",,,,,"Braun 2007: 698",,1545,,,,
"Macrinus","De rebus in Gallia Belgica nuper gestis ",,,,,"Braun 2007: 699",,1545,,,,
"Choppin","ΙΕΡΟΜΑΧΙΑ ",,,,,"Braun 2007: 699",,1562,,,,
"Godran","Historia crucis ",,,,,"Braun 2007: 699",,1565,,,,
"Godran","Judith historia ",,,,,"Braun 2007: 700",,1569,,,,
"Godran","Sacriﬁcium Abrahami ",,,,,"Braun 2007: 700",,1572,,,,
"Masurius","Babylon ",,,,,"Braun 2007: 700",,1569,,,,
"de Lamoignon","Martigius ",,,,,"Braun 2007: 702",,1570,,,,
"Perotus","Lotareis (ca",,,,,"Braun 2007: 702",,1570,,,,
"Clutin","Pugna navalis ",,,,,"Braun 2007: 703",,1571,,,,
"Mylonymus","De seditionibus regni gallici ",,,,,"Braun 2007: 703",,1572,,,,
"Rougeart","Curiosolitarum triumphus ",,,,,"Braun 2007: 703",,1578,,,,
"Carpenteius","Vaticinia Jesaiae ",,,,,"Braun 2007: 704",,1586,,,,
"Filhol","Sacra regum historia ",,,,,"Braun 2007: 704",,1587,,,,
"de Thou","Metaphrasis librorum sacrorum ",,,,,"Braun 2007: 707",,1588,,,,
"Balinus","Diva Magdalena ",,,,,"Braun 2007: 707",,1601,,,,
"Vias","Henricea ",,,,,"Braun 2007: 708",,1606,,,,
"Sorel","Henrias ",,,,,"Braun 2007: 709",,1614,,,,
"de Clavière","Ceres ",,,,,"Braun 2007: 710",,1619,,,,
"de Machault","Lodoici expeditio in Italiam ",,,,,"Braun 2007: 710",,1630,,,,
"Berthault","Casallum bis liberatum ",,,,,"Braun 2007: 712",,1631,,,,
"Vavassor","Jobus ",,,,,"Braun 2007: 714",,1638,,,,
"Vavassor","De miraculis Christi ",,,,,"Braun 2007: 714",,1644,,,,
"Chanut","Septem Virginis mysteria ",,,,,"Braun 2007: 714",,1650,,,,
"Maury","Ecclesiastes Salomonis ",,,,,"Braun 2007: 719",,1668,,,,
"Morus","Laus Christi nascentis ",,,,,"Braun 2007: 719",,1669,,,,
"Frizon","Xaverius thaumaturgus ",,,,,"Braun 2007: 720",,1684,,,,
